0x000000, 0xFEFEFE, 0xDCDCDC, 0xA9A9A9, 0x000000, 0x210000, 0x760000, 0xFE0000, 0x000000, 0x001221, 0x003F76, 0x0087FE, 0x000000, 0x212100, 0x767600, 0xFEFE00
0x000000, 0x002100, 0x007600, 0x00FE00, 0x000000, 0x000000, 0x878787, 0x0000ED, 0x000000, 0xFEA900, 0x0087ED, 0x0000CB, 0x000000, 0x545454, 0xFEFEFE, 0xFEFEFE
0x000000, 0x000000, 0x000000, 0xFE0000, 0x000000, 0xCB8700, 0xCBA943, 0x000000, 0x000000, 0x543221, 0xBA6532, 0xFEFEFE, 0x000000, 0x000000, 0x000000, 0xFEFEFE
0x000000, 0x000000, 0xFEFE00, 0xFE6500, 0x000000, 0x005400, 0x008700, 0x00FE00, 0x000000, 0x212165, 0x3232DC, 0x6565FE, 0x000000, 0x545454, 0xFEFEFE, 0xFEFEFE
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x515198, 0x6565A9, 0x7979CB, 0xBABAFE, 0x5A5A5A, 0x000000, 0x5B5B5B, 0x763F76, 0x070776, 0x543210, 0x65361B, 0xED7E5E, 0x00FE00, 0xFEBABA
0x000000, 0x000000, 0x763F1F, 0x87482D, 0xA95A21, 0x00431F, 0xFE2100, 0xFE8721, 0xFECB00, 0xFEFEFE, 0x541C00, 0x098748, 0xED7E7E, 0x6684DC, 0x0B4FA9, 0x0000A9
0x000000, 0x000000, 0x000000, 0x212121, 0x3F3F43, 0x4F4F54, 0x656565, 0x656565, 0x878787, 0x000000, 0x878787, 0x652865, 0xA965A9, 0x543232, 0x54211C, 0x651414
